"pcis_permit","permit_type","permit_sub_type","initiating_office","issue_date","address_start","street_name","street_suffix","zip_code","work_description","valuation","of_residential_dwelling_units","of_stories","contractors_business_name","contractor_address","contractor_city","license","principal_first_name","principal_last_name","license_expiration_date","applicant_first_name","applicant_last_name","applicant_business_name","zone","council_district"
"21010-10000-06574","Bldg-New","Apartment","METRO","2023-05-17T00:00:00.000","848","HAYWORTH","AVE","90046","NEW4-STORY APARTMENT BUILDING OVER SUBTERRANEAN LEVEL PARKING","2500000","9","4","DUKE DEVELOPMENT INC","127 N ROBERTSON BLVD","BEVERLY HILLS","947587","EMMANUEL","LABRANCHE","2024-05-31T00:00:00.000","PETER","LIU",,"R3-1","5"
"19010-10000-05132","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-17T00:00:00.000","3935","WESTFALL","DR","91436","(N) 2-story Single Family Dwelling with basement and attached 2-car ga","1600000","1","2","OWNER-BUILDER",,,"0",,,,"ANGEL","VILA",,"RE15-1-H","4"
"22010-10000-04168","Bldg-New","Apartment","METRO","2023-05-16T00:00:00.000","1585","VERNON","AVE","90011","NEW 4 STORY TYPE VA 17 UNITS 100% AFFORDABLE HOUSING APARTMENT PER 12.","1300000","17","4","DANIEL PASCUALE","18729 CLARK DALE AVE #C","ARTESIA","573067","DANIEL","PASCUALE","2024-05-31T00:00:00.000","MICHAEL",,,"C2-2D-CPIO","9"
"16010-10000-05522","Bldg-New","Commercial","METRO","2023-05-16T00:00:00.000","211","ALPINE","ST","90012","PROPOSED 7-STORY 170-UNIT MIXED USED APARTMENT BUILDING WITH GROUND FL","15905268","170","7","OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","-",,"GRAND PACIFIC 7-28, LLC","C2-2","1"
"20020-10000-00404","Nonbldg-New","Apartment","METRO","2023-05-16T00:00:00.000","211","ALPINE","ST","90012","TEMPORARY SHORING FOR THE PROPOSED 7-STORY 170-UNIT MIXED USED APARTME","848780",,,"OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","-",,"GRAND PACIFIC 7-28, LLC","C2-2","1"
"21010-10000-02845","Bldg-New","Apartment","METRO","2023-05-16T00:00:00.000","228","SOTO","ST","90033","NEW 4 STORY TYPE VA 42 UNITS (1 MANAGER, 1 ELI + 1 VLI + 39 LI = 100%)","2500000","41","4","MID CONSTRUCTION GROUP","5850 W 3RD STREET #160","LOS ANGELES","1030925","TYREE","BURNETT","2023-09-30T00:00:00.000","CHRIS","KOVEL",,"R4-1-CUGU","14"
"22010-30000-02322","Bldg-New","1 or 2 Family Dwelling","WEST LA","2023-05-16T00:00:00.000","10364","CHEVIOT","DR","90064","new 2-story house w/ basement & attached ADU  per state  *** 1 of 4  *","800000","1","2","DREXEL CONSTRUCTION MANAGEMENT LLC","5168 W PICO BLVD","LOS ANGELES","1014160","ILAN","DOUEK","2024-05-31T00:00:00.000","DAN","BIBAWI",,"R1V2","5"
"23016-20000-00013","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-16T00:00:00.000","8110","WOODMAN","AVE","91402","TI , REMODEL OF APPROXIMATELY 1,348 SF. TO ADD FIVE HOLDING BAYS,  A N","877000",,,,,,"370871",,,,"Fernando","Raya",,"R1-1","6"
"22010-10000-03844","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-16T00:00:00.000","3878","ENCINO HILLS","PL","91436","*eplan* new 1 story wingle family dwelling with an attached 2 car gar","750000","1","1",,,,"955109","TZVIKA","DINER",,"Dafna","Lahav",,"RE11-1","4"
"20020-10000-01502","Nonbldg-New","Commercial","METRO","2023-05-15T00:00:00.000","12000","VISTA DEL MAR",,"90293","INSTALLATION OF 7 NEW POLYMER DILUTION SYSTEM TO FEED THE DE-WATERING","1000000",,"1","CARBON ACTIVATED CORPORATION","2250 SOUTH CENTRAL AVE","COMPTON","842091","VINOD","KUMAR","2024-07-31T00:00:00.000","NATHALEE","DELGADO",,"PF-1","11"
"21010-10000-02617","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-12T00:00:00.000","9776","PEAVINE","DR","90210","(N) 2-STORY SINGLE FAMILY DWELLING WITH BASEMENT AND ATTACHED 3-CAR GA","900000","1","2","OWNER-BUILDER",,,"0",,,,"R","TORABI",,"RE15-1-H-HCR","5"
"22014-30000-02354","Bldg-New","1 or 2 Family Dwelling","WEST LA","2023-05-12T00:00:00.000","13229","BLOOMFIELD","ST","91423","New SFD  *** 1 of 4 ***","630000","1","2","OWNER-BUILDER",,,"0",,,,"VEA","ARCHITECT",,"R1-1-RIO","4"
"20010-10000-02544","Bldg-New","Apartment","METRO","2023-05-12T00:00:00.000","10915","STRATHMORE","DR","90024","NEW 7 STORY 37 UNITS (5 VLI) AFFORDABLE HOUSING APARTMENT TO INCLUDE 5","7500000","22","7","BERNARDS BUILDERS INC","555 FIRST ST","SAN FERNANDO","977134","GREGORY","SIMONS","2024-09-30T00:00:00.000","MATT","DZUREC",,"[Q]R4-1VL","5"
"22010-20000-04761","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-12T00:00:00.000","1340","BECKWITH","AVE","90049","NEW 59'-9"" x 78'-11"" TWO-STORY SINGLE FAMILY DWELLING W/ ATT. 2-CAR GA","547000","1","2","WPIC CONSTRUCTION LLC","125 W MAPLE AVE","MONROVIA","1029691","RAYMOND","APODACA","2023-08-31T00:00:00.000","JASON",,,"R1V1","11"
"22016-10000-33277","Bldg-Alter/Repair","Apartment","METRO","2023-05-12T00:00:00.000","847","SHERBOURNE","DR","90035","INTERIOR REMODEL OF EXISITING (12) UNITS IN EXISITING MULTI-FAMILY RE","565000",,,"M LIBRUSH CONSTRUCTION INC","541 SOUTH SPRING ST STE 213","LOS ANGELES","933238","MOSHE","LIBRUSH","2023-06-30T00:00:00.000","KHAL","ARCHITECTS",,"[Q]R3-1-O","5"
"21010-10000-04640","Bldg-New","Apartment","METRO","2023-05-12T00:00:00.000","25896","WESTERN","AVE","90710","NEW 4 STORY 81 UNITS (100% AFFORDABLE) HOUSING APARTMENT TO INCLUDE 3","2100000","81","4","BERNARDS BUILDERS INC","555 FIRST ST","SAN FERNANDO","977134","GREGORY","SIMONS","2024-09-30T00:00:00.000","SEAN","TABER",,"[Q]C2-1VL","15"
"23010-10000-00521","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-11T00:00:00.000","5001","ODESSA","AVE","91436","eplan New 2 Story (SFD) with attached garage","630000","1","2",,,,"0",,,,"Dafna","Lahav",,"R1-1","4"
"22010-20000-00064","Bldg-New","Commercial","VAN NUYS","2023-05-11T00:00:00.000","19514","RINALDI","ST","91326","New 1-story classroom building per ZA-1997-0195-CUZ. Classroom buildin","2215000",,"1","DO RIGHT MANAGEMENT INC.","1220 LINDA LANE","FULLERTON","737068","HYONG","CHOE","2023-07-31T00:00:00.000","JIN",,,"A1-1","12"
"22016-10000-01482","Bldg-Alter/Repair","Commercial","METRO","2023-05-11T00:00:00.000","300","WORLD","WAY","90045","**ePlan Ref. 42274**LAX T3** FIRST T.I. TO BUILD OUT SHELL SPACE IN TE","1600000",,,"HENSEL PHELPS CONSTRUCTION CO","420 SIXTH AVENUE","GREELEY","1020262","BRADLEY","JEANNERET","2024-11-30T00:00:00.000","LAX","4",,"LAX","11"
"22010-10000-01700","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-11T00:00:00.000","3207","OCEAN FRONT","WALK","90292","NEW  SINGLE FAMILY DWELLING WITH ATTACHED ( 684 s.f) ADU & ATTACHED 3","1000000","1","3","UPTON CONSTRUCTION INC","2272 LAS CANOAS ROAD","SANTA BARBARA","511179","MATTHEW","METCALFE","2023-07-31T00:00:00.000","JEFF","SHELTON",,"R3-1","11"
"22010-10000-05907","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-11T00:00:00.000","607","MARTEL","AVE","90036","NEW SFD WITH ATTACHED GARAGE (2-STORY)","800000","1","2",,,,"1053555","JONATHAN","FRONEN",,"Gavriel","Schuller",,"R1V2","5"
"18010-10000-03135","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-11T00:00:00.000","6335","QUEBEC","DR","90068","(N) 3-STORY S.F.D WITH BASEMENT & ATTACHED 3 CAR GARAGE PER ZA-2019-11","1700000","1","3","OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","ARMEN","MARTIROSSYAN",,"R1-1","4"
"21016-10000-09536","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-10T00:00:00.000","243","DELFERN","DR","90077","NEW 2 STORY SINGLE FAMILY DWELLING AND BASEMENT","3000000","1","2","CALCON CONSTRUCTION INC","2001 S BARRINGT6ON AVE","LOS ANGELES","761177","IRAJ","YAZDI","2025-04-30T00:00:00.000","HAFCO GROUP","INC.",,"RE40-1-HCR","5"
"21016-10000-15589","Bldg-Alter/Repair","Commercial","METRO","2023-05-10T00:00:00.000","3343","43RD","PL","90008","FIRE DAMAGE REPAIR & CHANGE OF USE FROM (E) OFFICE & (E) BARBER SHOP T","1570000",,"2","CALASIA CONSTRUCTION INC","3050 FLETCHER DRIVE","LOS ANGELES","938255","JOHN","MURAWSKI","2023-09-30T00:00:00.000","CELINA","GARCIA",,"C1.5-1-SP","10"
"21014-10000-01242","Bldg-Addition","Apartment","METRO","2023-05-10T00:00:00.000","870","LA FAYETTE PARK","PL","90026","ADDITION OF 4411  SF with New Guestroom and 857 SF GARAGE TO EXISTING","800000","0","3","KOPPLIN CONSTRUCTION COMPANY","2260 CENTINELA AVE SUITE 150","LOS ANGELES","932319","ERIK","KOPPLIN","2025-05-31T00:00:00.000","ARVIN","SHIRINYANS",,"R2-1VL","13"
"20014-10000-04014","Bldg-Addition","Commercial","METRO","2023-05-10T00:00:00.000","1817","HANCOCK","ST","90031","Proposed relocated 3 buildings from offsite and addition to make into","750000",,"2","WALTON CONSTRUCTION INC","358 E FOOTHILL BLVD STE 100","SAN DIMAS","1034491","ERNEST","JACKSON","2024-01-31T00:00:00.000","TERRI","DICKERHOFF","CGR DEVELOPMENT","M1-1VL","1"
"21014-20000-04568","Bldg-Addition","Commercial","VAN NUYS","2023-05-10T00:00:00.000","8232","DE SOTO","AVE","91304","PROPOSE [427.5SF] COVERED OUTDOOR DINING ADDITION WITHIN EXISITNG REST","525000",,"1","EXCEL CONSTRUCTION SERVICES INC","1950 RAYMER AVENUE","FULLERTON","852879","KAREN","RATZLAFF","2025-01-31T00:00:00.000","MAIKEL","FARAGALLA",,"P-1VL","3"
"23016-20000-06864","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-10T00:00:00.000","6600","TOPANGA CANYON","BLVD","91303","ePLAN. TENANT IMPROVEMENT TO (E) RETAIL. NEW OPENINGS IN (E) CORRIDOR.","1900000",,,"GRAY WEST CONSTRUCTION INC","421 E CERRITOS AVENUE","ANAHEIM","775947","ROBERT","MOORE","2024-03-31T00:00:00.000","Marina","Williams",,"(WC)UPTOWN-SN-RIO","3"
"21016-10000-09537","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-10T00:00:00.000","247","DELFERN","DR","90077","NEW ACCESSORY DWELLING UNIT WITH CABANA ON TOP.","700000",,"2","CALCON CONSTRUCTION INC","2001 S BARRINGT6ON AVE","LOS ANGELES","761177","IRAJ","YAZDI","2025-04-30T00:00:00.000","HAFCO GROUP","INC.",,"RE40-1-HCR","5"
"22010-20000-06352","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-10T00:00:00.000","10845","MORRISON","ST","91601","(N) 3-STORY DUPLEX W/ ATTACHED GARAGE & ROOFTOP DECK (NFPA-13D FIRE SP","568000","2","3","ONWARD BUILDERS LLC","750 N SAN VICENTE BLVD STE 800","WEST HOLLYWOOD","1084275","WILLIAM","BRAINARD","2023-11-30T00:00:00.000","DAN","BIBAWI",,"RD1.5-1","2"
"23016-10000-06759","Bldg-Alter/Repair","Commercial","METRO","2023-05-10T00:00:00.000","1900","AVENUE OF THE STARS",,"90067","eplan  Interior tenant improvement on the 19th floor of an existing 27","1721930",,,"PACIFIC TUSK BUILDERS CORP","1301 DOVE ST #130","NEWPORT BEACH","946368","ERIC","PRENDERGAST","2024-04-30T00:00:00.000","Dana","Rybarski",,"C2-2-O","5"
"21010-20000-02149","Bldg-New","Apartment","VAN NUYS","2023-05-09T00:00:00.000","610","HARVARD","BLVD","90004","(N) 9-UNIT 3-STORY TYPE V-A APARTMENT BUILDING W/ PARKING ON GRADE (NF","950000","9","3","BEACHWOOD CONSTRUCTION INC","27762 ANTONIO PARKWAY","LADERA RANCH","1037234","GRANT","BLANCO","2024-03-31T00:00:00.000","FARZIN","MALY",,"R3-1","13"
"22020-10000-01437","Nonbldg-New","Commercial","METRO","2023-05-09T00:00:00.000","5297","BEETHOVEN","ST","90066","(N) Bridge (70ft x 28 ft) and propose (N) Walkway (12 ft wide) on grad","1800000",,,"SUMMERLAND PARTNERS INC","23622 CALABASAS ROAD SUITE 121","CALABASAS","865002","MENASHE","KOZAR","2023-09-30T00:00:00.000","CRAIG","FRY",,"OS-1XL","11"
"22010-20000-05691","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-09T00:00:00.000","4830","LOUISE","AVE","91316","NEW 121'-11"" X 115'-4"" ONE STORY SINGLE FAMILY DWELLING WITH ATTACHED","952000","1","1","OWNER-BUILDER",,,"0",,,,"MARIAM","-",,"RA-1","4"
"23016-10000-05675","Bldg-Alter/Repair","Commercial","METRO","2023-05-09T00:00:00.000","7868","VAN NUYS","BLVD","91402","PROPOSED CHANGE OF USE FROM RESTAURANT TO OFFIC; WORK TO INCLUDE NEW P","588120",,,"SIERRA PACIFIC CONSTRUCTORS INC","22212 VENTURA BLVD","WOODLAND HILLS","433163","CARY","GERHARDT","2024-12-31T00:00:00.000","JOSEPH","HERNANDEZ",,"[Q]M2-1-CDO","6"
"22010-10000-03078","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-09T00:00:00.000","17920","CALVERT","ST","91316","ePlan  PROPOSED SINGLE FAMILY DWELLING WITH 3-CAR GARAGE","850000","1","2","OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","Dafna","Lahav",,"RA-1-RIO","4"
"22016-20000-37468","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-09T00:00:00.000","20065","RINALDI","ST","91326","eplan:  Tenant improvement to a restaurant  with outdoor covered patio","1200000",,"1",,,,"1071823","KYLE","PARKINSON",,"Mark","Fernandez",,"(T)C4-2D","12"
"22010-20000-04546","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-09T00:00:00.000","16826","OTSEGO","ST","91436","NEW 2-STORY 77'11""X44'2"" SFD WITH ATTACHED GARAGE. NFPA 13 D FIRE SPRI","515000","1","2","NORK CONSTRUCTION INC","17204 CHATSWORTH ST #10","GRANADA HILLS","1058592","ARMEN","MOVSESYAN","2023-09-30T00:00:00.000","GREG M",,,"R1-1","4"
"22010-10000-04947","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-08T00:00:00.000","155","BEVERLY GLEN","BLVD","90077","NEW 2-STORY SFD WITH ATTACHED 4-CAR GARAGE","1250000","1","2","TRADE CONSTRUCTION SERVICES INC","18717 PARTHENIA ST #10","NORTHRIDGE","1062967","JOSE","RESENDIZ","2024-02-29T00:00:00.000","JACK","MOSES",,"RE20-1-HCR","5"
"22020-10000-01541","Nonbldg-New","Commercial","METRO","2023-05-08T00:00:00.000","835","SOLANO","AVE","90012","PROPOSED RETAINING WALL.    2 OF 3","665000",,,"COMMERCIAL COATING COMPANY INC","P O BOX 65557","LOS ANGELES","475564","ADRIAN","LOERA","2023-06-30T00:00:00.000","CHRISTOPHER","RICO",,"[Q]OS-1XL","1"
"23016-10000-06824","Bldg-Alter/Repair","Commercial","METRO","2023-05-08T00:00:00.000","10250","CONSTELLATION","BLVD","90067","STE 3100 NON-STRUCTURAL INTERIOR OFFICE TI WORK INCLUDES NON STRUCUTUR","528750",,,"HOWARD BUILDING CORPORATION","707 WILSHIRE BLVD STE 3750","LOS ANGELES","445804","MARK","FULLER","2023-09-30T00:00:00.000","JUDY","YAM",,"C2-1VL-O","5"
"23010-20000-00592","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-05T00:00:00.000","16846","ADDISON","ST","91436","(N) 2-STORY SFD WITH ATTACHED 2-CAR GARAGE [NFPA-3D FIRE SPRINKLERS TH","600000","1","2","OWNER-BUILDER",,,"0",,,,"MICHELLE","LAUMAN",,"R1-1","4"
"23016-20000-03787","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-05T00:00:00.000","18300","SHERMAN","WAY","91335","ePlan: Full building Tenant improvement within including new partition","607300",,,"INTERSCOPE CONSTRUCTION MANAGEMENT CA LLC",,,"1097606","JEFFREY","DE LAURELL",,"Alexis","Roth",,"[Q]C2-1D-CDO","3"
"23016-10000-09010","Bldg-Alter/Repair","Commercial","METRO","2023-05-05T00:00:00.000","2000","AVENUE OF THE STARS",,"90067","NON STRUCTURAL TENANT IMPROVEMENT TO OFFICE ON 8TH FLOOR: NEW PARTITIO","1086800",,,"HITT CONTRACTING INC","2900 FAIRVIEW PARK DR","FALLS CHURCH","811478","CHRISTOPHER","PLASS","2024-08-31T00:00:00.000","NANCY","HUERTA",,"C2-2-O","5"
"17010-20000-04828","Bldg-New","Apartment","VAN NUYS","2023-05-05T00:00:00.000","422","ALVARADO","ST","90026","NEW MIXED-USE TYPE III-A 4 STORY 73-UNIT APARTMENT OVER TYPE IA 2 STOR","9450000","73","5","OWNER-BUILDER",,,"0",,,,"ALAN","BOIVIN",,"C2-1VL","13"
"20010-10000-01380","Bldg-New","Commercial","METRO","2023-05-05T00:00:00.000","6320","GARVANZA","AVE","90042","New 3-story, mixed-use Apartment and Commercial w/ Parking. 3 levels,","9291906","33","3","OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","MATTHEW","FOSS","GREEN CITY BUILDING COMPANY","[Q]C4-1XL-HPOZ","14"
"21010-20000-04599","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-04T00:00:00.000","1429","EDRIS","DR","90035","NEW IRR. SHAPED 38' x 60'-6"" TWO-STORY SINGLE FAMILY DWELLING W/ ATT.","800000","1","2","J J SERNA CONSTRUCTION INC","15094 ROSALES STREET","SYLMAR","1015341","JOSE","SERNA","2024-06-30T00:00:00.000","RAMEEL","NISSAN",,"R1V2-O","5"
"20010-10000-02651","Bldg-New","Commercial","METRO","2023-05-04T00:00:00.000","1400","GLENVILLE","DR","90035","New 7-story, 64 unit (8 VLI units = 12%) mixed-use building with 5 lev","13389000","64","7","FRYMER CONSTRUCTION","11675 NATIONAL BLVD","LOS ANGELES","860661","DAVID","FRYMER","2023-06-30T00:00:00.000","ZACHARY","ANDREWS",,"C4-1VL-O","5"
"22020-10000-00071","Nonbldg-New","Apartment","METRO","2023-05-04T00:00:00.000","1000","VERMONT","AVE","90006","***EARLY START PERMIT*** TEMPORARY SHORING FOR PROPOSED NEW MIXED USE","1625000",,,"VCC CONSTRUCTION CORP","P O BOX 2558","LITTLE ROCK","961705","DONALD","DAVIS","2023-06-30T00:00:00.000","CASSANDRA","MENENDEZ",,"(T)(Q)RAS4-1","1"
"22010-10000-05689","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-04T00:00:00.000","1703","ROXBURY","DR","90035","ePLAN-  1. New 3568.47 sq ft single-family dwelling with basement, gar","1284980","1","2",,,,"940685","JACOB","COHAN",,"Ben","Borukhim",,"R1V2-O","5"
"22016-10000-32985","Bldg-Alter/Repair","Commercial","METRO","2023-05-04T00:00:00.000","1122","LA CIENEGA","BLVD","90035","MAJOR TENANT IMPROVEMENT & CHANGE OF USE FROM (E) AUDITORIUM & OFFICE","2350000",,"0",,,,"888520","TERESA","NOROIAN",,"David","Swartz",,"C2-1-O","5"
"18010-10000-05475","Bldg-New","Commercial","METRO","2023-05-04T00:00:00.000","888","DEVON","AVE","90024","New 7-story, 21-units apartment over 2 levels of subterranean parking","11005117","21","7","BUILTRIGHT CONSTRUCTION","6603 INDEPENDENCE AVENUE A","CANOGA PARK","847796","BAHMAN","SHAHAN-GIAN","2024-10-31T00:00:00.000","RICK","GARRIDO","KWA","[Q]R5-3","5"
"22010-20000-05023","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-03T00:00:00.000","5107","GAVIOTA","AVE","91436","NEW 64'-6"" X 54' IRREGULAR SHAPED 2-STORY SFD W/ 2-CAR GARAGE. NFPA 13","525000","1","2","OWNER-BUILDER",,,"0",,,,"VALENTINE",,,"RE9-1","4"
"22014-20000-05203","Bldg-Addition","1 or 2 Family Dwelling","VAN NUYS","2023-05-03T00:00:00.000","20630","KINGSBORO","WAY","91364","2ND STORY ADDITION TO (E) SFD","700000","0","0",,,,"941130","GABRIEL","ALVAREZ",,"Gabriel","Alvarez",,"RA-1","3"
"21010-10000-00711","Bldg-New","Commercial","METRO","2023-05-03T00:00:00.000","1353","WESTERN","AVE","90027","New construction of  7-story mixed-use building including 70-units (7","10216000","63","7","VCC CONSTRUCTION CORP","P O BOX 2558","LITTLE ROCK","961705","DONALD","DAVIS","2023-06-30T00:00:00.000","CASSANDRA","MENENDEZ",,"C2-1","13"
"22010-20000-04370","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-03T00:00:00.000","22930","DOLOROSA","ST","91367","NEW 110'-10"" X 44' SINGLE FAMILY DWELLING WITH ATTACHED GARAGE; EQUIPP","533000","1","2","MODERN HOME CONSTRUCTION INC","22969 HUMMINGBIRD WY","CALABASAS","1013605","ARON","FRIEDMAN","2025-03-31T00:00:00.000","FARZIN",,,"R1-1","3"
"22016-10000-38701","Bldg-Alter/Repair","Commercial","METRO","2023-05-03T00:00:00.000","1024","ORANGE","DR","90038","ePlan Eplan RETROFIT EXISTING 2 STORY URM STRUCTURE PER DIVISION 88 UR","1200000",,,"CORPORATE CONTRACTORS INC","2550 CORPORATE PL STE C-111","MONTEREY PARK","604407","MARK","HEMPHILL","2024-10-31T00:00:00.000","Kira","Miller",,"MR1-1","13"
"23010-20000-00639","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-03T00:00:00.000","4237","KENWOOD","AVE","90037","NEW 2-STORY DUPLEX W/ ATTACHED 3-CAR GARAGE","515000","2","2","K N CONSULTING INC",,,"993102",,"KIP CHRISTOPHER CYPRUS","2024-05-31T00:00:00.000","Garrett","Wong",,"R2-1","9"
"22010-10000-04875","Bldg-New","1 or 2 Family Dwelling","METRO","2023-05-02T00:00:00.000","1600","35TH","ST","90018","NEW DUPLEX WITH ATTACHED 2 CAR GARAGE (3-STORY)","1146740","2","3",,,,"1075573","ARCHIE","HE",,"Yang","Wang",,"R2-1-O","8"
"22016-20000-30023","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-02T00:00:00.000","1734","41ST","ST","90058","(eplan) Voluntary seismic retrofit of three existing buildings. No cha","1076476",,,,,,"688972","DAVID","EICHTEN",,"Mario","Shaw",,"M2-2-CPIO","9"
"22016-10000-38625","Bldg-Alter/Repair","Commercial","METRO","2023-05-01T00:00:00.000","1520","CAHUENGA","BLVD","90028","eplan: CHANGE OF USE FROM RETAIL AND RESTURANT TO OFFICE WITH TENANT I","2850000",,,"ESPLANADE BUILDERS INC","23820 HAWTHORNE BLVD SUITE 100","TORRANCE","831964","CHRISTIAN","SORENSON","2024-02-29T00:00:00.000","Joyce","Agulan",,"C4-2D-SN","13"
"23016-10000-02859","Bldg-Alter/Repair","Commercial","METRO","2023-05-01T00:00:00.000","1515","VERMONT","AVE","90027","TENANT IMPROVEMENT TO EX. MEDICAL OFFICE AT THE 8TH FLOOR. NEW PROVIDE","987000",,,,,,"370871","FRANK","FARAGO",,"Tae","Ha",,"C2-CSA1","13"
